Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,147387.35094304587,155977.42585361138,235183.92459017131,173159.4019750933,181751.54302052592
30.23,147384.69996879573,155974.49568705112,235176.9163865913,173155.90096026252,181747.7551996272
470.23,147352.29281394888,156595.6018626218,234290.69156916157,175305.00853674274,181480.12535183784
860.23,147341.03701740067,157677.54984019807,218572.5948496996,175962.05755320293,177570.22120140208
1360.23,147331.47039287505,149010.11573844828,138376.6479728447,156117.55469466688,164201.39217851972
2740.23,147314.8850710952,140501.0594650078,128184.88058330076,143995.95636048872,153751.34348021055
3000.23,147312.5466213553,139981.02301563582,128182.82088432649,142920.06371914485,152127.81110813897
4000.23,147304.80955769893,138903.10108633834,128176.50149332172,139608.96796376642,147027.1532966091
5000.23,147298.4621897702,138505.7283647164,128171.32673495631,137285.38273564336,143444.15563666288
6000.23,147293.04007208234,138341.31043874042,128166.89976033979,135664.66746895347,140959.52681543905
7000.23,147288.2833277102,138261.83567004398,128163.01148614973,134541.7386069909,139247.0583284141
8000.23,147284.03069185594,138217.01330186432,128159.53210124552,133767.37679261286,138071.07029993655
9000.23,147280.17468945181,138188.61142814535,128156.37495669234,133235.03895833058,137265.2694053629
10000,147276.63983462047,138169.23482312978,128153.47907851641,132869.7616365914,136713.81215986665
