Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,147387.350908096,155977.5982623321,235184.71436087054,173159.76389608666,181751.90494151937
30.23,147384.6999339746,155974.6675534837,235177.69112791267,173156.26429286206,181748.11853241874
470.23,147352.29281168553,156595.60761183238,234290.7611713376,175305.0365660764,181480.15557688434
860.23,147341.03701663212,157677.54578597803,218572.61959925317,175962.06970898874,177570.2324313249
1360.23,147331.47039248477,149010.12030047664,138376.6554467761,156117.56030340644,164201.39816411794
2740.23,147314.8850713991,140501.06096270483,128184.88277473212,143995.95809736633,153751.3452585087
3000.23,147312.54662173937,139981.02419985528,128182.82272548402,142920.06517431894,152127.812594614
4000.23,147304.80955820144,138903.10160729787,128176.50251255708,139608.96876093038,147027.15410896693
5000.23,147298.4621902462,138505.72862772815,128171.32735141402,137285.38321454887,143444.15612411333
6000.23,147293.04007249358,138341.31058952154,128166.90015612404,135664.66777559678,140959.52712692486
7000.23,147288.28332805343,138261.83576540556,128163.01175134025,134541.7388124755,139247.0585366464
8000.23,147284.03069213816,138217.01336637512,128159.53228468147,133767.37693506872,138071.07044397015
9000.23,147280.1746896822,138188.61147373536,128156.37508673136,133235.03905975894,137265.26950766888
10000,147276.63983480787,138169.23485631205,128153.47917252053,132869.76171026228,136713.81223405432
