Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,147387.3509434977,155977.4311936284,235183.93814081937,173159.4133134997,181751.55435894846
30.23,147384.69996924605,155974.50100949744,235176.93114343262,173155.91231095052,181747.7665503053
470.23,147352.29281391235,156595.60315838014,234290.69625206935,175305.0116858015,181480.1281238449
860.23,147341.03701737509,157677.55050033555,218572.59725747793,175962.0593001204,177570.22267642207
1360.23,147331.4703928553,149010.11608998588,138376.64908873595,156117.55556045962,164201.3930897461
2740.23,147314.8850711236,140501.0596087097,128184.88103040034,143995.95669589212,153751.34381115154
3000.23,147312.54662139266,139981.02314137583,128182.8212745809,142920.0640086172,152127.81139114947
4000.23,147304.809557755,138903.10116534037,128176.50173685752,139608.96813765058,147027.15346237493
5000.23,147298.46218982918,138505.7284173084,128171.32689636295,137285.3828479996,143444.15574218074
6000.23,147293.04007213772,138341.31047523476,128166.89987188877,135664.66754559838,140959.52688688593
7000.23,147288.28332775962,138261.8356961592,128163.01156562277,134541.73866142257,139247.0583790519
8000.23,147284.03069189895,138217.0133209998,128159.53215917508,133767.37683243892,138071.07033708712
9000.23,147280.17468948854,138188.61144242462,128156.37499967286,133235.03898812502,137265.2694332595
10000,147276.63983465152,138169.2348339401,128153.47911086024,132869.76165925944,136713.8121812017
