Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,147387.3509418125,155977.44070685565,235183.98207123013,173159.43320656722,181751.57425200014
30.23,147384.6999675568,155974.51054583924,235176.97458025668,173155.9323921327,181747.78663150716
470.23,147357.65980749557,156604.14620494944,234298.5272946876,175311.02589004277,181485.60590613197
860.23,147346.57371168968,157688.5092716702,218579.97789012277,175968.90967192722,177575.7569353855
1360.23,147335.8727114841,149013.74785456742,138380.41582602516,156121.35079326545,164205.52836047346
2740.23,147314.49945389535,140506.06264963467,128184.37420869315,143995.44429074237,153750.58337327815
3000.23,147311.1960434778,139985.67083967617,128181.51716109304,142918.74273969972,152126.2185147001
4000.23,147299.75257627646,138905.3976292301,128172.14327967605,139604.59589306908,147022.49891031743
5000.23,147289.7730537613,138504.94429911085,128163.98081011206,137278.0753789178,143436.60476803195
6000.23,147280.8240103072,138337.25066417086,128156.65440651443,135654.52847600164,140949.1942243751
7000.23,147272.6500218578,138254.50060060874,128149.95733082094,134528.85525916872,139234.02880330943
8000.23,147265.0857771856,138206.4707496629,128143.75599030514,133751.8245726379,138055.41219285325
9000.23,147258.01711820537,138174.94945279654,128137.958085418,133216.88557001203,137247.0424286828
10000,147251.36135499808,138152.5444925207,128132.49667197005,132849.06954608654,136693.07145005863
