Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,147387.350941791,155977.44082678095,235183.98262566034,173159.4334574339,181751.57450286628
30.23,147384.69996755058,155974.5105804316,235176.9747374686,173155.93246501015,181747.78670438478
470.23,147352.2928138023,156595.60340429546,234290.69960908967,175305.0125803274,181480.12953536716
860.23,147341.03701734036,157677.55029533102,218572.598332858,175962.05949693438,177570.22310621335
1360.23,147331.4703928391,149010.1162758679,138376.64936755452,156117.5558306642,164201.3933518767
2740.23,147314.88507113283,140501.05966405082,128184.88108909836,143995.9567843497,153751.3439233655
3000.23,147312.54662140363,139981.02318371244,128182.82132080219,142920.06408340065,152127.8114878906
4000.23,147304.80955776625,138903.10118108633,128176.50175649243,139608.9681801132,147027.1535201215
5000.23,147298.46218983718,138505.7284235811,128171.32690514342,137285.3828738996,143444.15577851527
6000.23,147293.04007214258,138341.3104778962,128166.89987579965,135664.66756189812,140959.526910288
7000.23,147288.2833277622,138261.83569732995,128163.01156723192,134541.73867185586,139247.05839422724
8000.23,147284.03069189988,138217.01332150755,128159.5321596746,133767.37683915204,138071.07034595878
9000.23,147280.17468948854,138188.61144261464,128156.3749996443,133235.03899244338,137265.26943982067
10000,147276.63983465097,138169.23483397445,128153.47911059574,132869.76166202372,136713.81218549528
