Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,147363.2295632899,155935.58245678223,235089.90666652148,173097.76447591226,181689.90552072524
30.23,147336.71982130472,155908.79056266096,235047.87284655886,173070.2378863562,181662.09223669634
470.23,147012.64861507606,156103.0717774359,233788.01227330268,174908.44656531548,181128.97492207584
860.23,146900.0985505239,156837.77581893306,217967.37599085947,175422.14272763307,177117.7495735512
1360.23,146804.40813687228,148691.95928566848,137902.9018479339,155630.45633504065,163678.9906645873
2740.23,146638.4387691012,140110.32763609767,127623.54304250384,143414.4176532884,153149.11800674497
3000.23,146615.04372071664,139554.769330861,127604.39256605398,142322.8187440481,151512.5334039728
4000.23,146537.65120639256,138363.30342695577,127541.44413853339,138960.61915457994,146367.40492427367
5000.23,146474.16972011674,137881.362583331,127489.71668787187,136595.0326964162,142746.35971174223
6000.23,146419.94551961528,137651.18531932734,127445.45823856804,134937.83374392358,140227.81619037772
7000.23,146372.37673962422,137518.03691757203,127406.58253661172,133782.24618641337,138484.40052609003
8000.23,146329.84969518616,137427.66316365183,127371.79330042595,132978.12025592016,137279.79954574245
9000.23,146291.28927211557,137359.48342974184,127340.22493153121,132418.34391818434,136447.3354582174
10000,146255.94047208538,137304.64772501442,127311.26820378746,132027.5724703816,135870.90405862633
