Time(s),rhoInlet(Kg/m3)
1.27,1703.58091227,100272.435028,102351.721297,104431.006534,106510.292399,108589.577861,110668.863409,112748.148318,114827.435776,145843.551236,118995.173652,121082.497113,123171.522994,125260.539058,127349.55515,129438.571244,131527.587338,133616.603432
200.23000000000002,1700.93381498,100092.901515,102173.239255,104253.576702,106333.914327,108414.251838,110494.589374,112574.926644,114655.265109,145580.303879,119641.121691,120905.913717,122991.689168,125077.459242,127163.229332,129248.999423,131334.769513,133420.539604
2500.23,1653.07800422,97228.9948515,99255.3031665,101281.611478,103307.919792,105334.228104,107360.536416,109386.852169,111505.82329,140325.72254,123475.830818,117519.097067,119520.562224,121547.648349,123574.735252,125601.822154,127628.909057,129655.99596
4500.23,1575.86388563,92672.2148257,94604.12489,96536.0349532,98467.945017,100399.85508,102331.765602,104265.411802,106630.804979,131832.802893,119029.032764,112194.661925,113925.149629,115857.011522,117789.414508,119721.817598,121654.220687,123586.623777
7000.23,1431.46816593,84168.1692683,85923.1575697,87678.1458695,89433.1341687,91188.1225628,92943.2060569,94717.0632007,97260.9666184,115967.39848,107837.703604,102198.661687,103483.31152,105229.400595,106984.699094,108740.036903,110495.374742,112250.71258
8250.23,1352.75746402,79534.9961616,81193.5074573,82852.0187527,84510.5300476,86169.0425184,87827.9465119,89520.9143344,92035.3172368,107321.858927,101298.574899,96689.2171993,97798.7794014,99438.4953019,101097.123287,102755.941665,104414.760505,106073.579346
9000.23,1308.69356424,76941.459612,78545.9577098,80150.4558072,81754.9539099,83359.4557958,84964.7026628,86613.886255,89081.5976416,102482.213443,97563.4872376,93587.4512926,94618.384386,96196.9260679,97801.3190854,99406.1029115,101010.888393,102615.673876
10500.23,1234.38268846,72567.4780253,74080.884943,75594.2918605,77107.6988688,78621.1288739,80136.5345826,81714.6199158,84059.491845,94320.4762554,91166.8868609,88330.1569756,89258.4443309,90730.5223754,92243.0051157,93756.6549861,95270.3167158,96783.9784875
12000.23,1181.50265149,69454.1879421,70902.7759074,72351.3638749,73799.9525931,75248.627477,76701.2806159,78232.8107044,80459.8620256,88511.9315792,86549.9891442,84573.2466458,85449.0046206,86840.7847924,88286.985652,89735.752811,91184.5700341,92633.3876592
14000,1139.39847367,66973.6614741,68370.6451958,69767.6289713,71164.6187609,72561.9259922,73967.1730612,75470.8636257,77594.8333796,83885.481442,82848.1823102,81588.5490574,82425.4490029,83744.2457897,85135.6418307,86532.6187161,87929.8023741,89326.9897213
