Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,120634.96680394035,130684.51429842587,140731.64013317772,150788.54160642045,160843.79160622865
30.23,120623.3905880132,130676.2026503983,140727.78270137616,150783.88901741427,160839.1390173375
470.23,120586.26662717498,130641.23562688248,140695.96668346997,150751.34666744585,160806.5966674423
860.23,120575.01168462659,130630.0846889035,140684.98794543228,150740.32248973503,160795.57248973387
1360.23,120565.44242482782,130620.56573507463,140675.5602519052,150730.87083103228,160786.1208310326
2740.23,120548.84423593033,130604.01550661263,140659.10657727183,150714.39263205783,160769.64263205853
3000.23,120546.5046107465,130601.68047028079,140656.78118554014,150712.06487511218,160767.31487511256
5000,120532.41685946709,130587.6143489641,140642.76022328672,150698.0331455361,160753.28314553737
