Time(s),rhoInlet(Kg/m3),P6(Pa),P6.125(Pa),P6.25(Pa),P6.375(Pa),P6.5(Pa),P6.625(Pa),P6.75(Pa),P6.875(Pa),P7(Pa),P7.125(Pa),P7.25(Pa),P7.375(Pa),P7.5(Pa),P7.625(Pa),P7.75(Pa),P7.875(Pa),P8(Pa)
0,2229.133333333333,203553.57512324542,206193.87537926954,208834.17361672007,211474.47349349465,214114.7723155657,216755.07181596244,219395.3701101173,222035.6684047568,224675.91713445223,227316.41561504808,229957.00476673237,232597.5773977737,235238.149542685,237878.72167078586,240519.2937982792,243159.8659257485,245800.43805321667
200.23000000000002,2147.416433217034,126372.8847993161,129005.87462785792,131638.8644549896,134271.85428340168,136904.84411098875,139537.83393886988,142170.82409612305,144835.05288266845,194701.14599307685,160918.3306369364,152708.3327546667,155336.48881422105,157969.75818963477,160603.02759083937,163236.29699207318,165869.5663933052,168502.8357945377
2500.23,2040.4113243001073,120028.72452645845,122530.73994534154,125032.7617673037,127535.09125908461,130045.68692180756,132677.79035956343,136308.0216264691,144662.86687876564,182889.1763507217,167324.40465858387,150654.53385652084,148513.97538399865,150154.22255365035,152561.18675144698,155057.35970068496,157559.20955454392,160061.2599850074
4500.23,1867.7613359754505,109857.53461665614,112148.05640682668,114440.82078775912,116753.54220818626,119192.43677419206,122196.24359438985,127023.41846866035,136217.70743476148,163910.7498197715,154585.6967618936,141766.01955689187,138040.7319861221,138112.55689051867,139780.7629957071,141943.38738056063,144214.68895632066,146503.13437693522
7000.23,1544.8939669689732,90855.31018568919,92757.00413484902,94682.10125789387,96698.96437008023,98997.20696459385,101991.48340485503,106394.9701437059,113168.33604637433,128444.54918641,124680.89041211348,118142.1220032484,115601.29148099585,115166.1904939438,116022.41101813667,117532.11748275845,119309.67472577265,121180.5511718071
8250.23,1368.8976334799322,80500.01721532481,82195.02092089302,83923.57977032274,85757.431204471,87852.97173806,90492.19838418947,94087.4525048018,99117.10979432143,109115.97541437621,107390.03476905885,103728.74025994953,102327.84361236995,102199.28402229538,102952.2973829947,104223.16376094005,105750.41820917166,107392.91116875007
9000.23,1270.371199177942,74703.27234288616,76282.54494675767,77896.24222458906,79607.6854663899,81539.19686819531,83890.98444277211,86931.66012009695,90946.35612540413,98296.09506891269,97528.34037378484,95335.5271164928,94624.95159337309,94775.03089694043,95560.8723123504,96749.24768604542,98156.66969491492,99675.93940512376
10500,1104.2346495685044,64928.87576877476,66304.00232717452,67700.78495293747,69150.67773145525,70703.17276806504,72426.5657879777,74398.48842705901,76686.49760300716,80052.13895509903,80627.73746063195,80660.9662876502,81147.49145074167,81909.43085613697,82900.04169198297,84055.70666883847,85317.040410518,86644.9623770651
