Time(s),rhoInlet(Kg/m3)
0.31000000000000005,2214.311285190248,130334.28006395472,133049.06481514242,135763.84956305774,138478.6343139421,141193.41906293324,143908.20381257343,146622.9885518478,149337.77273417395,202073.83841369962,154767.73721591133,157482.9508689993,160198.2505640955,162913.54977723694,165628.8489906472,168344.1482041137,171059.4474175778,173774.74663104248
200.23000000000002,2213.0948416981137,130238.68617649128,132952.2136660453,135665.7411547107,138379.26864419115,141092.7961331457,143806.3236223212,146519.85110683605,149233.37822672294,201915.0675714726,155474.1469059221,157374.40495137943,160088.2127692427,162802.02031864144,165515.82786824723,168229.63541788113,170943.44296751346,173657.25051714553
2500.23,2189.7327826996043,128815.4574530114,131500.57822907448,134185.69900523717,136870.8197812141,139555.94055716568,142241.06133314362,144926.18233763933,147668.01257663133,199289.52573480975,165341.16583495046,155677.35265339437,158351.88595969265,161037.04577604082,163722.20560082307,166407.36542560972,169092.5252503947,171777.68507517996
4500.23,2145.041934216636,126170.90912035503,128801.24210301836,131431.57508568733,134061.90806835814,136692.24105101102,139322.5740398756,141953.27364044098,145002.6811383279,194361.72875703167,165417.0994764076,152630.91064900256,155104.7086896804,157734.9924341421,160365.35010520686,162995.70777704305,165626.06544887507,168256.42312070838
7000.23,2026.4820523715373,119184.46330878389,121669.41943356616,124154.37555835057,126639.33168313949,129124.28780865355,131609.25231449585,134103.23549068684,137650.5183608136,181326.80276107523,158042.82130870208,144581.21853410391,146522.40182585793,149004.00084062692,151488.97204204465,153973.94565863613,156458.91927535637,158943.8928920767
8250.23,1929.8618260902192,113496.77563617287,115863.25331249979,118229.73098883824,120596.20866517142,122962.68636457942,125329.22189057436,127717.21653798196,131411.75666889438,170711.80214412534,150651.30542419024,137915.78515616307,139537.57652795757,141894.58251577773,144261.0548106145,146627.54786904188,148994.04093328427,151360.53399752788
9000.23,1859.4401276989263,109352.41263135632,111632.5367097513,113912.66078815339,116192.78486657306,118472.90905983908,120753.17517282866,123065.24381898678,126788.3080354477,162976.5495467779,145006.8658401179,133014.69366590638,134449.09292728323,136714.00842756842,138994.0903621514,141274.2287849562,143554.36724154363,145834.50569813442
10500.23,1698.3741994461018,99875.27451472964,101957.89312759257,104040.51174047863,106123.13035405257,108205.75039344293,110288.9421471977,112428.80373312942,116057.88073349658,145287.11840963733,131670.71443317426,121707.6250340202,122815.27086234436,124867.01138117458,126949.3740427789,129032.00487168551,131114.6362335225,133197.26759559367
12000.23,1531.5890867890214,90062.83005994599,91940.92968949144,93819.02931906597,95697.12896390537,97575.23792098279,99454.91020177849,101416.16799411527,104781.77742517425,126971.38018636727,117472.58502158636,109888.27553395183,110772.19142447403,112600.90549118545,114478.18042465302,116356.28737531307,118234.39848702498,120112.50960469793
14000,1345.6432091147817,79123.35640237779,80773.44120084983,82423.52599990104,84073.61110409057,85723.75414389001,87377.85319312243,89137.33345576932,92047.59005893869,106552.24475296123,101304.25264600634,96594.68209772212,97348.45712096491,98926.86617766607,100574.53466874859,102224.59858971467,103874.69342724475,105524.78841217257
