Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,147387.35094178817,155977.44084240476,235183.98269799104,173159.43349011417,181751.57453554665
30.23,147384.69996754234,155974.51062642506,235176.97494740662,173155.93256189616,181747.7868012707
470.23,147352.29281379367,156595.60344755938,234290.69987429387,175305.01268706965,181480.12964724674
860.23,147341.037017335,157677.55031832168,218572.5984961717,175962.05956907192,177570.22317942948
1360.23,147331.470392835,149010.11629937793,138376.6494391431,156117.5558857583,164201.3934084257
2740.23,147314.88507113876,140501.05967648042,128184.88112650282,143995.9568137668,153751.34395418176
3000.23,147312.5466214117,139981.0231948517,128182.821354512,142920.0641097799,152127.8115154351
4000.23,147304.80955777952,138903.10118864567,128176.50177958391,139608.96819791434,147027.153538504
5000.23,147298.46218985209,138505.72842893406,128171.32692142508,137285.38288632402,143444.15579123897
6000.23,147293.04007215722,138341.31048180154,128166.89988754236,135664.6675708474,140959.52691939607
7000.23,147288.28332777577,138261.83570024243,128163.01157584984,134541.73867842264,139247.058400995
8000.23,147284.03069191208,138217.013323714,128159.53216608656,133767.37684405898,138071.0703520285
9000.23,147280.17468949914,138188.61144430572,128156.37500446677,133235.03899615677,137265.26944355943
10000,147276.6398346602,138169.23483528316,128153.47911425533,132869.7616648638,136713.8121883588
