Time(s),Depth(m),Pressure(Pa)
1.0,6.0,106604.28922115512
1.0,6.4,113715.32240011786
1.0,6.8,120824.24721809864
1.0,7.2,128002.79149154181
1.0,7.6,135201.42611728352
1.0,8.0,142394.20072924308
16.4,6.0,106588.33182741508
16.4,6.4,113701.25611315038
16.4,6.8,120812.08299110118
16.4,7.2,127996.49504851224
16.4,7.6,135194.8869035486
16.4,8.0,142387.1172572296
52.8,6.0,106555.15039746824
52.8,6.4,113654.57213808692
52.8,6.8,120751.53832397093
52.8,7.2,127939.45645379147
52.8,7.6,135139.9083773517
52.8,8.0,142332.12718175902
112.8,6.0,106499.66512980091
112.8,6.4,113614.03178214528
112.8,6.8,120726.7834069385
112.8,7.2,127936.9104936852
112.8,7.6,135135.1933923129
112.8,8.0,142325.43260952103
152.8,6.0,106463.3812291531
152.8,6.4,113582.99132391733
152.8,6.8,120700.8897535282
152.8,7.2,127922.495139308
152.8,7.6,135120.44568039663
152.8,8.0,142309.87976627913
200.0,6.0,106419.62342082689
200.0,6.4,113507.49637476065
200.0,6.8,120602.14394098357
200.0,7.2,127824.83850421997
200.0,7.6,135008.66015718295
200.0,8.0,142192.63402432608
