Time(s),Depth(m),Pressure(Pa)
16.4,6.92,169247.28208001438
16.4,6.93,169496.3976752241
16.4,6.94,169716.646607797
16.4,6.95,169992.84723838692
16.4,6.96,170222.74383551092
16.4,6.97,170474.00597230435
16.4,6.98,170705.32129329565
16.4,6.99,170967.11263730313
16.4,7.0,171388.87276825405
16.4,7.01,171557.02848999624
16.4,7.02,171741.0754991398
16.4,7.03,171949.22579045236
16.4,7.04,172179.29250902703
16.4,7.05,172393.62413889298
16.4,7.06,172626.8937097599
16.4,7.07,172843.78197474303
16.4,7.08,173055.45578895265
16.4,7.09,173229.37754822182
16.4,7.1,173403.86546380862
16.4,7.11,173861.40729288853
16.4,7.12,174105.25466642075
16.4,7.13,174342.41816180517
16.4,7.14,174595.95840407014
16.4,7.15,174836.29396167357
16.4,7.16,175070.90819728197
16.4,7.17,175334.61364819776
16.4,7.18,175561.34422251774
16.4,7.19,175819.38183145158
16.4,7.2,176069.14585515496
16.4,7.21,176314.1521599633
16.4,7.22,176560.29847641903
16.4,7.23,176809.7010242666
16.4,7.24,177058.2192404881
16.4,7.25,177300.86912823364
16.4,7.26,177543.52843827172
16.4,7.27,177794.8368656415
16.4,7.28,178039.75904574516
16.4,7.29,178298.7435463293
16.4,7.3,178547.07444652484
16.4,7.31,178787.10009344504
16.4,7.32,179024.93712359903
16.4,7.33,179267.92354915474
16.4,7.34,179543.3171222955
16.4,7.35,179775.55296890688
16.4,7.36,180033.58220192933
16.4,7.37,180281.41789957185
16.4,7.38,180523.19175714263
16.4,7.39,180753.54246044502
16.4,7.4,181005.48407130418
16.4,7.41,181285.78405236
16.4,7.42,181502.1509664754
16.4,7.43,181762.57425877458
16.4,7.44,182015.34232689656
16.4,7.45,182256.28319926612
16.4,7.46,182478.27745003052
16.4,7.47,182727.34535601517
16.4,7.48,182984.605168463
16.4,7.49,183234.5005053621
16.4,7.5,183537.58658900645
16.4,7.51,183764.27361567708
16.4,7.52,183973.91339889172
16.4,7.53,184205.7530119755
16.4,7.54,184480.71807226024
16.4,7.55,184734.5775206396
16.4,7.56,184962.67309321943
16.4,7.57,185204.7622403562
16.4,7.58,185469.04187967727
16.4,7.59,185709.12968041704
16.4,7.6,185981.62591450324
16.4,7.61,186194.24567310198
16.4,7.62,186454.18320211896
16.4,7.63,186706.27223719526
16.4,7.64,186940.4973283993
16.4,7.65,187176.37661629965
16.4,7.66,187424.06218593928
16.4,7.67,187722.10417648475
16.4,7.68,187937.98709050883
16.4,7.69,188173.32033884383
16.4,7.7,188444.54448802222
16.4,7.71,188684.0235722759
16.4,7.72,188928.1291688162
16.4,7.73,189171.71582301476
16.4,7.74,189373.618058984
16.4,7.75,189663.4183743542
16.4,7.76,189920.06277424787
16.4,7.77,190174.59073528677
16.4,7.78,190412.66731047168
16.4,7.79,190654.04904908946
16.4,7.8,190895.49307166744
16.4,7.81,191140.64890069194
16.4,7.82,191392.712754498
16.4,7.83,191625.8367469326
16.4,7.84,191892.69139622487
16.4,7.85,192158.29021332902
16.4,7.86,192369.09553656855
16.4,7.87,192622.2909367432
16.4,7.88,192876.18545127078
16.4,7.89,193123.82957784535
16.4,7.9,193382.90599159047
16.4,7.91,193607.18790192515
16.4,7.92,193902.36846892931
16.4,7.93,194120.97641787445
16.4,7.94,194358.38313313908
16.4,7.95,194599.59925592717
16.4,7.96,194833.2997571752
16.4,7.97,195051.89912050695
16.4,7.98,195254.13825065046
16.4,7.99,195445.33062723622
52.8,6.0,108927.8250997439
52.8,6.01,125242.48221333466
52.8,6.02,134883.64713537967
52.8,6.03,140830.0696161182
52.8,6.04,144684.81320576058
52.8,6.05,146925.3305053647
52.8,6.06,148279.7048376788
52.8,6.07,149002.49598829556
52.8,6.08,149429.72996626009
52.8,6.09,149641.82823509478
52.8,6.1,149773.70888507596
52.8,6.11,149881.6958983251
52.8,6.12,149978.45521226028
52.8,6.13,150098.97903798343
52.8,6.14,150242.690581328
52.8,6.15,150409.28121403957
52.8,6.16,150584.75187393848
