Elements,Radius(m),Velocity(m/s)
8813.0,0.1,0.0
8813.0,0.10500000000000001,0.0003795591704326162
8813.0,0.11000000000000001,0.000620282485127631
8813.0,0.11500000000000002,0.0008233430040719184
8813.0,0.12000000000000002,0.0009067536812696573
8813.0,0.12500000000000003,0.0009119437123032307
8813.0,0.13000000000000003,0.0009007521795771625
8813.0,0.13500000000000004,0.0008571662626097701
8813.0,0.14000000000000004,0.0007014445003412349
8813.0,0.14500000000000005,0.0005756726587455257
8813.0,0.15000000000000005,0.00041337356491484524
8813.0,0.15500000000000005,0.00022477580541898568
8813.0,0.16000000000000006,2.720922392964104e-05
8813.0,0.16500000000000006,0.0
8813.0,0.17000000000000007,0.0
8813.0,0.17500000000000007,0.0
8813.0,0.18000000000000008,0.0
8813.0,0.18500000000000008,0.0
8813.0,0.19000000000000009,0.0
8813.0,0.1950000000000001,0.0
8813.0,0.2000000000000001,0.0
8813.0,0.2050000000000001,0.0
8813.0,0.2100000000000001,0.0
8813.0,0.2150000000000001,0.0
8813.0,0.2200000000000001,0.0
