Time(s),rhoInlet(Kg/m3)
1.27,1703.58091227,98864.4171391,95460.6949789,92056.9729603,88653.2507745,85249.5236095,81845.4340453,78437.3915613,75051.4960563,125889.733253,72323.6792244,73617.5406151,75711.5695548,77800.5749908,79889.5904896,81978.6065949,84067.6226885,86156.6387822
200.23000000000002,1700.93381498,54325.8138637,55936.736186,57547.4647994,59158.6322766,60770.0800734,62382.1285626,63981.0711555,65587.9351668,94738.1016244,69193.8298121,71132.8583321,73219.2355078,75305.0056255,77390.7756212,79476.5457135,81562.3158041,83648.0858947
2500.23,1653.07800422,51287.127335,53331.2252876,55375.3117267,57419.420391,59463.5990242,61519.6460275,65833.1105933,80170.5775814,91712.9071525,85638.4209403,71727.4399401,73652.6636806,75679.7497256,77706.8365798,79733.9234831,81761.0103858,83788.0972885
4500.23,1575.86388563,53472.3817116,55446.8642463,57766.3354103,62315.8400599,70255.4577368,79331.4144177,86928.8371283,91431.8242121,91889.9358662,90883.8927043,74704.3959494,74890.4696934,76819.6003872,78752.0031366,80684.406227,82616.8093167,84549.2124065
7000.23,1431.46816593,58279.5214022,75317.242478,79180.5484188,82403.9877557,85094.1609285,87515.4639365,89861.2423923,92196.2746005,92260.3829463,92702.5896525,80040.0336664,77949.6834218,79615.5138522,81370.5202508,83125.8579226,84881.1957611,86636.5335996
8250.23,1352.75746402,61413.9591904,79387.4777148,81676.0601826,83864.3890806,86017.7913847,88164.0840836,90309.5817118,92455.1861991,92490.2867219,93311.9316124,82668.1996653,80163.2546343,81633.366933,83290.251142,84949.0660534,86607.884892,88266.7037323
9000.23,1308.69356424,63387.2328644,80360.9298419,82415.9362882,84456.5220355,86493.9802511,88531.0457278,90568.0914925,92605.2840238,92631.6875461,93636.5062387,84170.787567,81618.023244,82966.3720442,84566.9501693,86171.7193846,87776.5048527,89381.2903358
10500.23,1234.38268846,67175.1936928,81782.7745494,83630.7670045,85478.6630482,87326.5498318,89174.4359705,91022.3287482,92870.353197,92899.4884315,94203.8891096,86881.982679,84508.8836398,85636.6162583,87137.1687559,88650.693493,90164.3548218,91678.0165931
12000.23,1181.50265149,70320.1819659,82832.3433469,84538.8821978,86245.4200358,87951.9578517,89658.4955489,91365.0393111,93071.6948006,93121.2927256,94648.9384718,89041.3832306,86987.4717211,87945.5483367,89366.0681965,90814.2761874,92263.0889168,93711.9065287
14000,1139.39847367,73171.2552841,83713.2186929,85301.4859903,86889.7350049,88477.9840207,90066.232931,91654.4873599,93242.8303677,93324.4735289,95046.408746,90989.1840825,89305.179493,90103.2558307,91443.2400937,92837.9691055,94235.1093009,95632.2962806
