Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,147389.7630664734,155981.69730993174,235193.6471535199,173165.7486595433,181757.8897050264
30.23,147389.49796904786,155981.15303557136,235190.15848824757,173164.6513106209,181756.50553893045
470.23,147386.25723256674,156646.6769269166,234340.99783338647,175344.65563074857,181515.26040644577
860.23,147385.13086027128,157764.74055535006,218633.13429525,176015.99291980342,177615.47607532036
1360.23,147384.1766202741,149040.8722908635,138424.0325155423,156166.2906355178,164253.64797048017
2740.23,147382.5297027308,140539.66838680592,128241.0179622659,144054.1078711698,153811.57152048862
3000.23,147382.29691257182,140023.28245274283,128240.66682407279,142979.7852698741,152189.34124375918
4000.23,147381.52539336405,138956.91711998597,128240.00907186492,139673.79946964214,147093.1247762116
5000.23,147380.8914370325,138568.0709892288,128239.48893855781,137354.41468321398,143513.93101922606
6000.23,147380.34952752467,138410.2543063272,128239.04474936769,135737.34813478988,141032.69408647908
7000.23,147379.87398666976,138336.15735786653,128238.65499690379,134617.68540631418,139323.32087225196
8000.23,147379.44879164372,138295.89547380517,128238.30645287815,133846.30018157448,138150.1945705862
9000.23,147379.06323128572,138271.47482317153,128237.99033175054,133316.70631230559,137347.06028828557
10000,147378.7097709586,138255.64673382934,128237.7004676928,132953.97847589222,136798.100647838
