Time(s),rhoInlet(Kg/m3)
1.27,1703.58091227,100272.435708,102351.206664,104429.97747,106508.748367,108587.519205,110666.29006,112745.060563,114823.829579,145832.774966,118990.955558,121078.2163,123167.242883,125256.258939,127345.275032,129434.291126,131523.307219,133612.323313
200.23000000000002,1700.93381498,100092.901706,102173.08462,104253.267489,106333.450384,108413.633263,110493.816148,112573.998846,114654.181617,145577.117136,119642.164738,120904.636471,122990.412147,125076.182218,127161.952308,129247.722399,131333.49249,133419.26258
2500.23,1653.07800422,97228.9948538,99255.3011844,101281.607514,103307.913844,105334.220174,107360.526505,109386.840301,111505.899628,140325.682059,123476.253064,117519.099239,119520.546014,121547.632137,123574.71904,125601.805943,127628.892845,129655.979748
4500.23,1575.86388563,92672.2148264,94604.124325,96536.0338227,98467.943322,100399.852821,102331.76278,104265.410126,106630.915327,131832.791478,119029.146136,112194.696849,113925.145368,115857.006911,117789.409897,119721.812987,121654.216076,123586.619166
7000.23,1431.46816593,84168.1692685,85923.1573841,87678.1454994,89433.1336143,91188.1218226,92943.2052061,94717.0685168,97261.0359261,115967.394818,107837.732771,102198.689183,103483.312072,105229.399101,106984.697581,108740.03539,110495.373229,112250.711067
8250.23,1352.75746402,79534.9961618,81193.5073408,82852.0185194,84510.5296989,86169.0420542,87827.9461361,89520.9212688,92035.3669376,107321.85667,101298.590939,96689.2374641,97798.7811716,99438.4944154,101097.12234,102755.940717,104414.759557,106073.578398
9000.23,1308.69356424,76941.4596121,78545.9576201,80150.4556274,81754.9536397,83359.4554385,84964.7025213,86613.8935369,89081.637851,102482.211719,97563.4988523,93587.4677798,94618.3865588,96196.9254337,97801.3183524,99406.1021777,101010.887659,102615.673142
10500.23,1234.38268846,72567.4780254,74080.8848881,75594.2917506,77107.6987038,78621.1286655,80136.534845,81714.626984,84059.5181629,94320.4752246,91166.8935835,88330.1677857,89258.44679,90730.5221201,92243.0046721,93756.654539,95270.3162686,96783.9780403
12000.23,1181.50265149,69454.1879422,70902.7758727,72351.3638057,73799.9524899,75248.6273681,76701.2811878,78232.817038,80459.8798607,88511.9309417,86549.993582,84573.2539842,85449.0069918,86840.7847965,88286.9853823,89735.7525311,91184.5697541,92633.3873792
14000,1139.39847367,66973.6614741,68370.6451766,69767.6289332,71164.6187055,72561.9259856,73967.1739315,75470.8690251,77594.8451167,83885.4810895,82848.1853364,81588.5539585,82425.4511347,83744.2460229,85135.6417007,86532.6185602,87929.8022173,89326.9895645
