Elements,Radius(m),Velocity(m/s)
1503.0,0.14500000000000005,1.9849238911940903e-05
1503.0,0.15000000000000005,2.0508506497030312e-05
1503.0,0.15500000000000005,2.0898156452322196e-05
1503.0,0.16000000000000006,2.1023177599428028e-05
1503.0,0.16500000000000006,2.0897140232904922e-05
1503.0,0.17000000000000007,2.0505026923803127e-05
1503.0,0.17500000000000007,1.984647047383142e-05
1503.0,0.18000000000000008,1.8920660270715424e-05
1503.0,0.18500000000000008,1.7698424306581833e-05
1503.0,0.19000000000000009,1.6167944222764697e-05
1503.0,0.1950000000000001,1.432922001926402e-05
1503.0,0.2000000000000001,1.218045512227644e-05
1503.0,0.2050000000000001,9.689173168161386e-06
1503.0,0.2100000000000001,6.8293546932545275e-06
1503.0,0.2150000000000001,3.5996303038673725e-06
1503.0,0.2200000000000001,0.0
2419.0,0.1,0.0
2419.0,0.10500000000000001,3.5326589786168853e-06
2419.0,0.11000000000000001,6.6967532707171854e-06
2419.0,0.11500000000000002,9.493656397595183e-06
2419.0,0.12000000000000002,1.1942112821892054e-05
2419.0,0.12500000000000003,1.4061443109769078e-05
2419.0,0.13000000000000003,1.5861402916713637e-05
2419.0,0.13500000000000004,1.7358591996781937e-05
2419.0,0.14000000000000004,1.856193290422343e-05
2419.0,0.14500000000000005,1.947965237431891e-05
2419.0,0.15000000000000005,2.012603718765978e-05
2419.0,0.15500000000000005,2.0505106447233983e-05
2419.0,0.16000000000000006,2.063161724460915e-05
2419.0,0.16500000000000006,2.0505469432027776e-05
2419.0,0.17000000000000007,2.0126152176526148e-05
2419.0,0.17500000000000007,1.948057927064158e-05
2419.0,0.18000000000000008,1.8560829815362514e-05
2419.0,0.18500000000000008,1.7358909739884884e-05
2419.0,0.19000000000000009,1.5859731928291364e-05
2419.0,0.1950000000000001,1.4061932406104237e-05
2419.0,0.2000000000000001,1.1941682362011894e-05
2419.0,0.2050000000000001,9.489153029346309e-06
2419.0,0.2100000000000001,6.697984816747477e-06
2419.0,0.2150000000000001,3.5364261088046436e-06
2419.0,0.2200000000000001,0.0
3153.0,0.1,0.0
3153.0,0.10500000000000001,3.499970670017122e-06
3153.0,0.11000000000000001,6.632099883271181e-06
3153.0,0.11500000000000002,9.399022278720606e-06
3153.0,0.12000000000000002,1.1826746088740205e-05
3153.0,0.12500000000000003,1.3928655942236296e-05
3153.0,0.13000000000000003,1.571155037717003e-05
3153.0,0.13500000000000004,1.7196488171158105e-05
3153.0,0.14000000000000004,1.838786279797426e-05
3153.0,0.14500000000000005,1.929963586059526e-05
3153.0,0.15000000000000005,1.9938527787412917e-05
3153.0,0.15500000000000005,2.0316848467366095e-05
3153.0,0.16000000000000006,2.0441874188119103e-05
3153.0,0.16500000000000006,2.031705004517275e-05
3153.0,0.17000000000000007,1.993865095720642e-05
3153.0,0.17500000000000007,1.9299932382787764e-05
3153.0,0.18000000000000008,1.8387131075937964e-05
3153.0,0.18500000000000008,1.7196642138518658e-05
3153.0,0.19000000000000009,1.5712116469786928e-05
3153.0,0.1950000000000001,1.3928843516733026e-05
3153.0,0.2000000000000001,1.1825729551062844e-05
3153.0,0.2050000000000001,9.398000462360771e-06
3153.0,0.2100000000000001,6.633069465729788e-06
3153.0,0.2150000000000001,3.500911615719212e-06
3153.0,0.2200000000000001,0.0
