Elements,Radius(m),Velocity(m/s)
8813.0,0.1,0.0
8813.0,0.10500000000000001,3.3025025895114674e-06
8813.0,0.11000000000000001,6.253665859455179e-06
8813.0,0.11500000000000002,8.871528146041053e-06
8813.0,0.12000000000000002,1.1167587140982643e-05
8813.0,0.12500000000000003,1.3155509990717102e-05
8813.0,0.13000000000000003,1.4847881724365152e-05
8813.0,0.13500000000000004,1.62545888976625e-05
8813.0,0.14000000000000004,1.738580245636045e-05
8813.0,0.14500000000000005,1.8251275925007708e-05
8813.0,0.15000000000000005,1.8859798082008815e-05
8813.0,0.15500000000000005,1.9219194425347546e-05
8813.0,0.16000000000000006,1.933749859226527e-05
8813.0,0.16500000000000006,1.9219274376655517e-05
8813.0,0.17000000000000007,1.885968713802926e-05
8813.0,0.17500000000000007,1.8251278512880742e-05
8813.0,0.18000000000000008,1.7385854897323475e-05
8813.0,0.18500000000000008,1.6254586685464804e-05
8813.0,0.19000000000000009,1.48479509945279e-05
8813.0,0.1950000000000001,1.3155465267059753e-05
8813.0,0.2000000000000001,1.1167670300906543e-05
8813.0,0.2050000000000001,8.871364414531288e-06
8813.0,0.2100000000000001,6.253638101251104e-06
8813.0,0.2150000000000001,3.302506903480834e-06
8813.0,0.2200000000000001,0.0
