Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,147387.35094470615,155977.42425611409,235183.9061940559,173159.39881616953,181751.53986160006
30.23,147384.6999704495,155974.49410054882,235176.8997460268,173155.8977723289,181747.75201166913
470.23,147352.29281399547,156595.60295455184,234290.69370657532,175305.01103720436,181480.12705400065
860.23,147341.0370174028,157677.55062583275,218572.5964027649,175962.05916025498,177570.2223354907
1360.23,147331.47039286897,149010.11594772938,138376.6488530052,156117.55533129704,164201.3928686467
2740.23,147314.88507111432,140501.05956405704,128184.88097091905,143995.9566137423,153751.34370850152
3000.23,147312.54662138116,139981.02310649236,128182.8212260223,142920.0639383435,152127.8113019811
4000.23,147304.80955774125,138903.1011509524,128176.50171296946,139608.96809641414,147027.15340811707
5000.23,147298.46218981766,138505.7284107262,128171.32688376037,137285.38282234865,143444.1557076989
6000.23,147293.04007212917,138341.31047194375,128166.89986503952,135664.66752925082,140959.52686455287
7000.23,147288.2833277538,138261.83569442327,128163.01156192391,134541.73865091454,139247.05836450603
8000.23,147284.03069189528,138217.01332008326,128159.5321572847,133767.37682570433,138071.07032758166
9000.23,147280.17468948686,138188.61144197395,128156.374998853,133235.03898386855,137265.26942713623
10000,147276.63983465117,138169.23483377224,128153.47911068313,132869.7616566412,136713.81217733122
