Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,147387.35094246728,155977.41099817952,235183.87853538705,173159.37047533356,181751.51152076563
30.23,147384.69996821144,155974.48084706688,235176.86927888036,173155.8693631866,181747.7236025569
470.23,147352.29281393788,156595.59710012813,234290.6750095762,175304.9980176274,181480.11506419734
860.23,147341.03701741408,157677.5467689629,218572.5845843586,175962.05071371724,177570.21458880018
1360.23,147331.47039289403,149010.11375854947,138376.6421093127,156117.54942375148,164201.38678569914
2740.23,147314.88507104004,140501.05824439446,128184.87701595043,143995.95315238688,153751.34014211223
3000.23,147312.54662127508,139981.02187484692,128182.81755546284,142920.06074597628,152127.808024588
4000.23,147304.8095575325,138903.10018052964,128176.49885800554,139608.96566308278,147027.15093662418
5000.23,147298.46218954024,138505.72761797218,128171.32456376532,137285.38087233354,143444.1537405304
6000.23,147293.04007180722,138341.30980549473,128166.8979192837,135664.66590828332,140959.52523613063
7000.23,147288.28332740307,138261.83512146736,128163.00989155429,134541.7372666548,139247.05697727547
8000.23,147284.03069152654,138217.0128188216,128159.5306977935,133767.37561975716,138071.0691207913
9000.23,147280.17468910784,138188.61099736078,128156.3737060001,133235.03791715988,137265.26836047447
10000,147276.6398342679,138169.23443502936,128153.47795282774,132869.76070182736,136713.8112228967
