Time,Depth(m),Pressure(Pa)
7000.0,6.38,126738.78153483522
7000.0,6.39,126937.57938288909
7000.0,6.4,127136.3772309433
7000.0,6.41,127335.17507899768
7000.0,6.42,127533.97292705128
7000.0,6.43,127732.77077510691
7000.0,6.44,127931.56862316298
7000.0,6.45,128130.36647122164
7000.0,6.46,128329.1643192886
7000.0,6.47,128527.96216737415
7000.0,6.48,128726.76001550499
7000.0,6.49,128925.55786374348
7000.0,6.5,129124.35571223308
7000.0,6.51,129323.15356128359
7000.0,6.52,129521.95141157585
7000.0,6.53,129720.74926466751
7000.0,6.54,129919.54712379847
7000.0,6.55,130118.34499581922
7000.0,6.56,130317.14289446693
7000.0,6.57,130515.94084708107
7000.0,6.58,130714.73890887905
7000.0,6.59,130913.53718733677
7000.0,6.6,131112.33588975883
7000.0,6.61,131311.13539896792
7000.0,6.62,131509.93638775716
7000.0,6.63,131708.74014403706
7000.0,6.64,131907.54899620783
7000.0,6.65,132106.3669415096
7000.0,6.66,132305.2007444887
7000.0,6.67,132504.06167093146
7000.0,6.68,132702.9689286675
7000.0,6.69,132901.9547476137
7000.0,6.7,133101.07278557433
7000.0,6.71,133300.40037360264
7000.0,6.72,133500.06305863266
7000.0,6.73,133700.25485695235
7000.0,6.74,133901.27180681247
7000.0,6.75,134103.5368609242
7000.0,6.76,134307.67727520198
7000.0,6.77,134514.59181718124
7000.0,6.78,134725.54901460218
7000.0,6.79,134942.32378260134
7000.0,6.8,135167.3677705445
7000.0,6.81,135404.16660968112
7000.0,6.82,135657.26801802713
7000.0,6.83,135930.4949382445
7000.0,6.84,136232.28739227887
7000.0,6.85,136572.90426362897
7000.0,6.86,136962.33054912696
7000.0,6.87,137417.18999214744
7000.0,6.88,137951.83353132277
7000.0,6.89,138590.51884354546
7000.0,6.9,139356.94098817484
7000.0,6.91,140286.06324772304
7000.0,6.92,141421.7646663981
7000.0,6.93,142804.3695983397
7000.0,6.94,144507.13003033027
7000.0,6.95,146639.41737908687
7000.0,6.96,149333.60864392505
7000.0,6.97,152737.08543632907
7000.0,6.98,157153.80627438554
7000.0,6.99,163918.71260981457
7000.0,7.0,181327.03354029602
7000.0,7.01,181587.92325973103
7000.0,7.02,181847.14905945538
7000.0,7.03,182106.35588972227
7000.0,7.04,182365.5771067881
7000.0,7.05,182624.7917787395
7000.0,7.06,182884.00639568825
7000.0,7.07,183143.22654900234
7000.0,7.08,183402.4463828158
7000.0,7.09,183661.65494283696
7000.0,7.1,183920.84964698498
7000.0,7.11,166342.28727183412
7000.0,7.12,160057.02236423892
7000.0,7.13,155986.78635850135
7000.0,7.14,152967.982385064
7000.0,7.15,150734.69539776404
7000.0,7.16,149027.25226143375
7000.0,7.17,147714.40370072913
7000.0,7.18,146727.24542891057
7000.0,7.19,145974.76606381097
7000.0,7.2,145427.52665456786
7000.0,7.21,145045.4499726679
7000.0,7.22,144790.87678284047
7000.0,7.23,144638.06844332913
7000.0,7.24,144571.17818856568
7000.0,7.25,144570.01612960635
7000.0,7.26,144616.0940445258
7000.0,7.27,144702.96496319695
7000.0,7.28,144820.5097587098
7000.0,7.29,144960.86455039761
7000.0,7.3,145118.0597010336
7000.0,7.31,145287.63662845345
7000.0,7.32,145466.18372839814
7000.0,7.33,145651.13012212713
7000.0,7.34,145840.5780269404
7000.0,7.35,146033.1768910684
7000.0,7.36,146227.91468129744
7000.0,7.37,146424.0849029262
7000.0,7.38,146621.20488542257
7000.0,7.39,146818.95987723794
7000.0,7.4,147017.1155718919
7000.0,7.41,147215.52186950546
7000.0,7.42,147414.0836820529
7000.0,7.43,147612.74185223633
7000.0,7.44,147811.45863115723
7000.0,7.45,148010.21035649878
7000.0,7.46,148208.98221622346
7000.0,7.47,148407.76551612013
7000.0,7.48,148606.5554391137
7000.0,7.49,148805.3490650379
7000.0,7.5,149004.1447050646
7000.0,7.51,149202.9414224504
7000.0,7.52,149401.7387089547
7000.0,7.53,149600.5362953557
7000.0,7.54,149799.3340351229
7000.0,7.55,149998.13185200773
7000.0,7.56,150196.92970684357
7000.0,7.57,150395.72757986968
7000.0,7.58,150594.52546166378
7000.0,7.59,150793.32334758964
7000.0,7.6,150992.12123540323
7000.0,7.61,151190.91912407175
7000.0,7.62,151389.71701312164
7000.0,7.63,151588.51490233577
7000.0,7.64,151787.3127916225
7000.0,7.65,151986.11068093913
7000.0,7.66,152184.90857026802
7000.0,7.67,152383.70645960263
7000.0,7.68,152582.5043489398
7000.0,7.69,152781.30223827687
7000.0,7.7,152980.10012761428
7000.0,7.71,153178.89801695236
7000.0,7.72,153377.6959062898
7000.0,7.73,153576.49379562697
7000.0,7.74,153775.29168496496
7000.0,7.75,153974.08957430342
7000.0,7.76,154172.88746364068
7000.0,7.77,154371.68535297833
7000.0,7.78,154570.4832423165
7000.0,7.79,154769.28113165387
7000.0,7.8,154968.079020991
7000.0,7.81,155166.8769103292
7000.0,7.82,155365.6747996677
7000.0,7.83,155564.47268900514
7000.0,7.84,155763.27057834258
7000.0,7.85,155962.0684676806
7000.0,7.86,156160.86635701777
7000.0,7.87,156359.6642463548
7000.0,7.88,156558.46213569297
7000.0,7.89,156757.2600250315
7000.0,7.9,156956.0579143692
7000.0,7.91,157154.85580370782
7000.0,7.92,157353.6536930448
7000.0,7.93,157552.45158238278
7000.0,7.94,157751.2494717206
7000.0,7.95,157950.04736105932
7000.0,7.96,158148.84525039545
7000.0,7.97,158347.64313973422
7000.0,7.98,158546.4410290709
7000.0,7.99,158745.23891840782
8250.0,6.0,113496.77563617322
8250.0,6.01,113686.0950449957
8250.0,6.02,113875.41445381739
8250.0,6.03,114064.73386264
8250.0,6.04,114254.05327146087
8250.0,6.05,114443.37268028363
8250.0,6.06,114632.692089105
8250.0,6.07,114822.01149792684
8250.0,6.08,115011.33090674847
8250.0,6.09,115200.65031557073
8250.0,6.1,115389.96972439175
8250.0,6.11,115579.28913321374
8250.0,6.12,115768.60854203471
8250.0,6.13,115957.92795085638
8250.0,6.14,116147.2473596788
8250.0,6.15,116336.56676850116
8250.0,6.16,116525.88617732268
8250.0,6.17,116715.20558614479
8250.0,6.18,116904.52499496687
8250.0,6.19,117093.84440378824
8250.0,6.2,117283.16381260991
8250.0,6.21,117472.48322143218
8250.0,6.22,117661.80263025427
8250.0,6.23,117851.12203907593
8250.0,6.24,118040.44144789803
8250.0,6.25,118229.7608567201
8250.0,6.26,118419.08026554144
8250.0,6.27,118608.39967436309
8250.0,6.28,118797.71908318545
8250.0,6.29,118987.03849200738
8250.0,6.3,119176.35790082885
8250.0,6.31,119365.67730965104
8250.0,6.32,119554.99671847314
8250.0,6.33,119744.31612729437
8250.0,6.34,119933.63553611602
8250.0,6.35,120122.95494493874
8250.0,6.36,120312.27435375993
8250.0,6.37,120501.59376258242
8250.0,6.38,120690.91317140519
8250.0,6.39,120880.23258022909
8250.0,6.4,121069.5519890567
8250.0,6.41,121258.87139789166
8250.0,6.42,121448.19080674068
8250.0,6.43,121637.5102156276
8250.0,6.44,121826.82962459132
8250.0,6.45,122016.14903371932
8250.0,6.46,122205.4684431978
8250.0,6.47,122394.78785340565
8250.0,6.48,122584.10726513117
8250.0,6.49,122773.42667992772
8250.0,6.5,122962.74610089284
8250.0,6.51,123152.06553385759
8250.0,6.52,123341.3849899121
8250.0,6.53,123530.7044913726
8250.0,6.54,123720.02407857579
8250.0,6.55,123909.34382578771
8250.0,6.56,124098.6638652822
8250.0,6.57,124287.98442958193
8250.0,6.58,124477.30593627092
8250.0,6.59,124666.6291096508
8250.0,6.6,124855.95519609516
8250.0,6.61,125045.28625246126
8250.0,6.62,125234.62554085784
8250.0,6.63,125423.9787132424
8250.0,6.64,125613.35504607591
8250.0,6.65,125802.76884450408
8250.0,6.66,125992.24220576836
8250.0,6.67,126181.80878876321
8250.0,6.68,126371.52147341704
8250.0,6.69,126561.46163705653
8250.0,6.7,126751.75365408418
8250.0,6.71,126942.5615848086
8250.0,6.72,127134.13285938808
8250.0,6.73,127326.82621652342
8250.0,6.74,127521.14873760071
8250.0,6.75,127717.77601116363
8250.0,6.76,127917.64606331021
8250.0,6.77,128122.02800118097
8250.0,6.78,128332.60363935788
8250.0,6.79,128551.60343361233
8250.0,6.8,128781.9400132714
8250.0,6.81,129027.5656254946
8250.0,6.82,129293.3525239281
8250.0,6.83,129583.0421700493
8250.0,6.84,129905.17757461854
8250.0,6.85,130269.69712292094
8250.0,6.86,130685.6852632394
8250.0,6.87,131168.277850827
8250.0,6.88,131729.44781118253
8250.0,6.89,132390.35782389858
8250.0,6.9,133171.19807144313
8250.0,6.91,134101.08813371876
8250.0,6.92,135216.7270063884
8250.0,6.93,136550.7803308155
8250.0,6.94,138164.56441895178
8250.0,6.95,140149.4891863428
8250.0,6.96,142618.34860817093
8250.0,6.97,145695.36913634936
8250.0,6.98,149643.90571130914
8250.0,6.99,155603.20764494166
8250.0,7.0,170712.0012874055
8250.0,7.01,170957.49807020408
8250.0,7.02,171201.55700289525
